City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,upington,-28.4478,21.2561,93.58,10,20,14.97,ZA,2023-04-02 15:26:55
69,hasaki,35.7333,140.8333,51.22,61,100,21.21,JP,2023-04-02 15:26:55
70,ahipara,-35.1667,173.1667,61.57,91,30,8.72,NZ,2023-04-02 15:26:55
71,longyearbyen,78.2186,15.6401,19.24,93,100,5.75,SJ,2023-04-02 15:26:55
72,rudbar,30.15,62.6,81.84,15,0,9.33,AF,2023-04-02 15:26:55
73,nanortalik,60.1432,-45.2371,32.59,64,100,5.32,GL,2023-04-02 15:26:55
74,tezu,27.9167,96.1667,62.17,92,100,4.29,IN,2023-04-02 15:26:55
75,lata,40.1629,-8.3327,73.49,36,31,6.04,PT,2023-04-02 15:26:56
76,kloulklubed,7.0419,134.2556,73.9,69,88,3.8,PW,2023-04-02 15:26:56
77,rosetta,31.4044,30.4164,68.41,48,24,9.08,EG,2023-04-02 15:26:56
78,bathsheba,13.2167,-59.5167,86.61,62,40,20.71,BB,2023-04-02 15:26:56
79,bluff,-46.6,168.3333,53.46,69,98,12.41,NZ,2023-04-02 15:26:56
80,atar,20.5169,-13.0499,100.45,8,0,4.61,MR,2023-04-02 15:26:56
81,los llanos de aridane,28.6585,-17.9182,69.55,68,0,14.97,ES,2023-04-02 15:26:56
82,biak,-0.9131,122.8766,76.64,79,100,3.24,ID,2023-04-02 15:26:56
83,jawhar,2.7809,45.5005,83.95,64,90,16.15,SO,2023-04-02 15:26:56
84,esperance,-33.8667,121.9,64.85,75,0,10.83,AU,2023-04-02 15:26:56
85,jamestown,42.097,-79.2353,33.53,51,0,8.05,US,2023-04-02 15:26:57
86,paamiut,61.994,-49.6678,28.67,52,19,6.17,GL,2023-04-02 15:26:57
87,constantine,36.365,6.6147,53.01,58,40,23.02,DZ,2023-04-02 15:26:57
88,bubaque,11.2833,-15.8333,78.21,73,0,11.27,GW,2023-04-02 15:26:57
89,strezhevoy,60.7333,77.5889,34.84,97,100,9.78,RU,2023-04-02 15:26:57
90,east london,-33.0153,27.9116,76.14,83,20,14.97,ZA,2023-04-02 15:26:57
91,zhob,31.3411,69.4481,63.55,53,65,7.87,PK,2023-04-02 15:26:58
92,ostrovnoy,68.0531,39.5131,25.23,69,100,12.97,RU,2023-04-02 15:26:58
93,kavaratti,10.5669,72.642,82.94,67,8,11.97,IN,2023-04-02 15:26:58
94,najran,17.4924,44.1277,79.45,32,78,4.03,SA,2023-04-02 15:26:58
95,te anau,-45.4167,167.7167,40.78,90,11,0.98,NZ,2023-04-02 15:26:58
96,puerto ayora,-0.7393,-90.3518,85.96,87,41,8.99,EC,2023-04-02 15:26:58
97,mahebourg,-20.4081,57.7,81.25,89,75,8.05,MU,2023-04-02 15:26:58
98,grand gaube,-20.0064,57.6608,81.37,74,100,5.99,MU,2023-04-02 15:26:58
99,bengkulu,-3.8004,102.2655,75.7,90,99,3.65,ID,2023-04-02 15:26:58
100,vila velha,-20.3297,-40.2925,80.94,72,20,20.71,BR,2023-04-02 15:23:32
101,sinnamary,5.3833,-52.95,82.26,69,68,13.09,GF,2023-04-02 15:26:59
102,vestmanna,62.1564,-7.1664,45.52,71,20,5.75,FO,2023-04-02 15:26:59
103,tiksi,71.6872,128.8694,12.24,77,100,32.97,RU,2023-04-02 15:26:59
104,lidkoping,58.5052,13.1577,42.42,54,19,8.32,SE,2023-04-02 15:26:59
105,upernavik,72.7868,-56.1549,-16.46,94,70,6.22,GL,2023-04-02 15:26:59
106,busselton,-33.65,115.3333,62.38,88,0,13.6,AU,2023-04-02 15:26:59
107,ponta do sol,32.6667,-17.1,77.72,62,0,5.23,PT,2023-04-02 15:26:59
108,bilibino,68.0546,166.4372,-13.38,95,100,3.15,RU,2023-04-02 15:26:59
109,dikson,73.5069,80.5464,-9.69,99,100,9.89,RU,2023-04-02 15:27:00
110,porto novo,6.4965,2.6036,87.62,57,99,12.73,BJ,2023-04-02 15:27:00
111,saskylakh,71.9167,114.0833,20.41,93,100,9.33,RU,2023-04-02 15:27:00
112,hovd,48.0056,91.6419,8.94,42,57,7.38,MN,2023-04-02 15:27:00
113,arraial do cabo,-22.9661,-42.0278,78.66,61,75,11.5,BR,2023-04-02 15:27:00
114,lagos,6.5833,3.75,91.72,53,87,10.07,NG,2023-04-02 15:17:31
115,hay river,60.8156,-115.7999,12.18,79,100,11.5,CA,2023-04-02 15:25:38
116,kodiak,57.79,-152.4072,27.91,64,0,5.75,US,2023-04-02 15:27:00
117,qaanaaq,77.484,-69.3632,-6.95,64,26,2.93,GL,2023-04-02 15:27:01
118,stratford-upon-avon,52.1917,-1.7073,54.68,62,38,9.69,GB,2023-04-02 15:27:01
119,haimen,23.1935,116.6142,66.09,84,12,11.99,CN,2023-04-02 15:27:01
120,semnan,35.5729,53.3971,54.46,25,32,14.88,IR,2023-04-02 15:27:01
121,yumen,40.2833,97.2,40.64,26,1,2.26,CN,2023-04-02 15:27:01
122,touros,-5.1989,-35.4608,83.08,74,81,10.22,BR,2023-04-02 15:24:23
123,klaksvik,62.2266,-6.589,47.32,71,39,10.78,FO,2023-04-02 15:27:01
124,nome,64.5011,-165.4064,6.87,92,100,19.57,US,2023-04-02 15:27:02
125,bardsir,29.9227,56.5743,56.01,11,0,16.46,IR,2023-04-02 15:27:02
126,ilulissat,69.2167,-51.1,10.42,67,40,2.3,GL,2023-04-02 15:27:02
127,port augusta,-32.5,137.7667,59.83,39,47,7.72,AU,2023-04-02 15:27:02
128,huainan,32.6264,116.9969,62.64,54,100,20.33,CN,2023-04-02 15:27:02
129,albany,42.6001,-73.9662,38.17,42,5,8.99,US,2023-04-02 15:23:33
130,tuktoyaktuk,69.4541,-133.0374,-14.8,76,0,6.91,CA,2023-04-02 15:27:02
131,beni,0.5,29.4667,69.44,77,87,5.06,CD,2023-04-02 15:27:03
132,sterling,39.0062,-77.4286,50.45,50,40,20.71,US,2023-04-02 15:27:03
133,cap malheureux,-19.9842,57.6142,81.46,74,99,5.99,MU,2023-04-02 15:27:03
134,port elizabeth,-33.918,25.5701,74.1,84,0,8.05,ZA,2023-04-02 15:27:04
135,mamallapuram,12.6264,80.1722,86.05,81,11,14.18,IN,2023-04-02 15:27:04
136,saint george,37.1041,-113.5841,50.43,46,0,1.01,US,2023-04-02 15:27:04
137,sao filipe,14.8961,-24.4956,80.47,48,0,7.27,CV,2023-04-02 15:27:05
138,umea,63.8284,20.2597,33.73,40,0,5.75,SE,2023-04-02 15:27:05
139,dingle,10.9995,122.6711,76.08,82,39,5.93,PH,2023-04-02 15:27:05
140,agirish,61.9247,63.0231,33.21,94,63,6.73,RU,2023-04-02 15:27:05
141,alpoyeca,17.6667,-98.5167,80.98,48,3,0.76,MX,2023-04-02 15:27:05
142,ixtapa,20.7,-105.2,69.03,78,40,0.0,MX,2023-04-02 15:27:05
